index,Prompt,Generated Code GPT-2,Generated Code BART,Generated Code Mistral,Actual Code
32,Hey Chicago: this Applet will send you a notification from the IFTTT app when there's an alert during your morning commute (7-9am on weekdays).,"Hey Chicago: this Applet will send you a notification from the IFTTT app when there's an alert during your morning commute (7-9am on weekdays).
###
Code:
var Hour = Meta.currentUserTime.hour() var Day = Meta.currentUserTime.day()   if (Hour <7 || Hour > 9) {    IfNotifications.sendNotification.skip(""Outside of morning commuting hours"") }    if (Day == 6 || Day == 7) {    IfNotifications.sendNotification.skip(""Not a weekday"") }","var Hour = Meta.currentUserTime.hour() var Day    Hour <7 || Hour > 9) {   IfNotifications.sendNotification.skip(""Outside of morning commuting hours"") }   if (Day == 6 || Day == 7){  }  if (!Hour < 7 || (Hour > 9 && Hour > 19) { {  }","Hey Chicago: this Applet will send you a notification from the IFTTT app when there's an alert during your morning commute (7-9am on weekdays).
###
var Day = Meta.currentUserTime.day() var Hour   = Meta.currentUserTime.hour()   if (Day == 6 || Day == 7) {   IfNotifications.sendNotification.skip() }   if (Hour < 7 || Hour > 9) {   IfNotifications.sendNotification.skip() }","var Day = Meta.currentUserTime.day() var Hour = Meta.currentUserTime.hour()  if (Day == 6 || Day ==7) {   IfNotifications.sendNotification.skip(""Not a weekday"") }  if (Hour < 7 || Hour > 9) {   IfNotifications.sendNotification.skip(""Not commuting hours"") }"
33,Set a Yeelight Scene when sunset from Monday to Friday,"Set a Yeelight Scene when sunset from Monday to Friday
###
Code:
if (Meta.currentUserTime.locale('en').isoWeekday() < 6) {   Yeelight.setScene.skip('Not Weekdays'); } else {  Yeelight.setScene.skip('Not Weekends'); } }  if (Meta.currentUserTime.locale('en').isoWeekday() >= 6) {   Yeelight.setScene.skip('Not Weeks'); } else {  Yeelight.setScene.skip('Not Days'); } }  if (Meta.current",if (Meta.currentUserTime.locale('en').isoWeekday() < 6) {   Yeelight.setScene.skip('Not Weekdays'); },"Set a Yeelight Scene when sunset from Monday to Friday
###
if (Meta.currentUserTime.day() == 6 || Meta.currentUserTime.day() == 7) {   Yeelight.setScene.skip(""Not Weekdays"") }  else {   Yeelight.setScene.setSceneName(""Sunset"") }  Yeelight.setScene.setBrightness(""100"")  Yeelight.setScene.setColorMode(""rgb"")  Yeelight.setScene.setColorTemp(""2500K"")",if (Meta.currentUserTime.locale('en').isoWeekday() >= 6) {   Yeelight.setScene.skip('Not Weekdays'); }
34,Closes the Main Gate every hour after 9 PM and until 7AM the next day.,"Closes the Main Gate every hour after 9 PM and until 7AM the next day.
###
Code:
var hour = Meta.triggerTime.hour()     if (hour <7 || hour > 7) {           Gate.close()  }     else {                                                         ",var hour = Meta.triggerTime.hour()   if (hour < 7 && hour > 21) {    Gogogate.closeDoor.skip()  },"Closes the Main Gate every hour after 9 PM and until 7AM the next day.
###
let timeOfDay = Meta.triggerTime.hour()    if (timeOfDay >= 7 || timeOfDay < 21) {      IfNotifications.sendRichNotification.skip(`Good night, don't forget to close the gate`) } else {      IfNotifications.sendRichNotification.skip(`We're good`) }",var hour     = Meta.triggerTime.hour()     if (hour > 7 && hour < 21) {    Gogogate.closeDoor.skip()  }
35,Dim Hue lights when motion detected on Arlo in the night,"Dim Hue lights when motion detected on Arlo in the night
###
Code:
var timeOfDay = Meta.currentUserTime.hour()    if (timeOfDay >= 22 || timeOfDay < 8 ) {    Hue.setBrightnessAllHue.skip()  } else {      Hue.setBrightnessAllHue.setColorAllHue.skip()  }    }     if (timeOfDay >= 17 || timeOfDay < 8 ) {     Hue.setBrightnessAllHue.skip",var timeOfDay = Meta.currentUserTime.hour()  if (timeOfDay > 7 && timeOfNight < 19) {   Hue.setBrightnessAllHue.skip() },"Dim Hue lights when motion detected on Arlo in the night.
###
if (Meta.currentUserTime.hour() > 22 || Meta.currentUserTime.hour() < 6 ) {   Hue.dimHueLight.skip(); } else {    Arlo.detectMotion.on( function(event) {    Hue.dimHueLight.setBrightness(event.MotionDetectedInImage.isMoving?""20"":""100"");   }); }",var timeOfDay = Meta.currentUserTime.hour();  if (timeOfDay > 7 && timeOfDay < 19) {   Hue.setBrightnessAllHue.skip() }
36,Turn light on if time is after 7pm or before 7am,"Turn light on if time is after 7pm or before 7am
###
Code:
var timeOfDay = Meta.currentUserTime.hour()  if (timeOfDay >= 22 || timeOfDay < 7 ) {      } else {        Lifx.switchAction.skip()  }      } else {      Lifx.switchAction.setAction(   Lifx.currentUserTime.hour()     Lifx.switchAction.setAction(  Lifx.currentUserTime.minute",var timeOfDay = Meta.currentUserTime.hour()   if (timeOfDay >= 7 || timeofDay < 21) {   Lifx.turnOn.skip()  },"Turn light on if time is after 7pm or before 7am
###
if(Meta.currentUserTimeHour() > 19 || Meta.currentUserTimeHour() < 7){  }else{   Ecobee.holdHeating.skip();  }",if ((Meta.currentUserTime.hour() <= 19) || (Meta.currentUserTime.hour() >= 7)) {     WemoLightSwitch.attributeLsOnDiscrete.skip(); }
37,This Applet sends you an email when there's a service alert on Rapid Ride A line between the hours of 7-10am and 5-7pm.,"This Applet sends you an email when there's a service alert on Rapid Ride A line between the hours of 7-10am and 5-7pm.
###
Code:
var Hour = Meta.currentUserTime.hour()    if (Hour < 7 || Hour > 10) {   Email.sendMeEmail.skip(""Outside of commuting hours"") }   if (Hour > 19 || Hour > 10) {   Email.sendMeEmail.skip(""Not a weekday"") }   if (Hour < 17 || Hour > 10) {   Email.sendMeEmail.","var Hour = Meta.currentUserTime.hour()   if (Hour <7 || (Hour > 10 && Hour < 17) || Hour > 19) {   Email.sendMeEmail.skip(""Outside of commuting hours"") }","This Applet sends you an email when there's a service alert on Rapid Ride A line between the hours of 7-10am and 5-7pm.
###
var Hour = Meta.currentUserTime.hour() var Day = Meta.currentUserTime.day()  if (Hour < 7 || (Hour > 10 && Hour < 17) || Hour > 19) {    Email.sendMeEmail.skip(""Outside of commuting hours"") }  if (Hour > 17 || (Hour < 7 && Day == 6)) {    Email.sendMeEmail.skip(""Not a weekday"") }  var Alert = Transit.serviceAlerts.AlineRapidRide.Text    Email.sendMeEmail.setSubject(Alert)    Email.sendMeEmail.setBody(Alert)
###","var Hour = Meta.currentUserTime.hour()   if (Hour <7 || (Hour > 10 && Hour < 17) || Hour > 19) {   Email.sendMeEmail.skip(""Outside of commuting hours"") }"
38,"Your lights will turn on when you're heading to a location, only if the time is after 8pm.","Your lights will turn on when you're heading to a location, only if the time is after 8pm.
###
Code:
var timeOfDay = Meta.currentUserTime.hour()  if (timeOfDay >= 22 || timeOfDay < 8 ) {      IfNotifications.sendNotification.skip(""Too late"") }  else {       IfNotifications.sendNotification.skip(""Not a weekday"") }      } else {      IfNotifications.sendNotification.skip(""Not commuting hours"") }",var hour = Meta.currentUserTime.hour()  if (hour < 20) {   Lifx.turnOn.skip() },"Your lights will turn on when you're heading to a location, only if the time is after 8pm. This Applet is based on your current location and does not require your home location to be set in your Philips Hue app.
###
let timeOfDay = Meta.currentUserTime.hour();    if (timeOfDay < 20) {    PhilipsHue.turnOnAllHue.skip();  } else {    PhilipsHue.turnOnAllHue.setAutoConfirm(true);  }",var hour = Meta.currentUserTime.hour()  if (hour < 20) {   Lifx.turnOn.skip() }
39,"We have your date night planned ahead of time, just tell us where and what day works for you! Impress your significant other every week with a new plan.","We have your date night planned ahead of time, just tell us where and what day works for you! Impress your significant other every week with a new plan.
###
Code:
var Hour = Meta.triggerTime.hour()    if (Hour < 17 || Hour > 19) {     ImpressMe.sendMeEmail.skip(""Too late"") }    if (Hour < 17 || Hour > 19) {     ImpressMe.sendMeEmail.skip(""Not Late"") }    if (Hour < 17 || Hour > 19) { ",let optionOne = Math.floor((Math.random() * Trakt.recommendedMovies.length)) Email.sendMeEmail.setSubject(`It's night date night!`),"We have your date night planned ahead of time, just tell us where and what day works for you! Impress your significant other every week with a new plan.
###
if (Mon.day() === ""Sunday"") {   Wandr.plan.setDescription(""Wine Tasting at Winepress"");   Wandr.plan.setLocation(""Winepress, 1500 Sunset Ave""); }  if (Mon.day() === ""Monday"") {   Wandr.plan.setDescription(""Movie Night at the Roxy"");   Wandr.plan.setLocation(""Roxy Theatre, 932 Dundas St W""); }  if (Mon.day() === ""Tuesday"") {   Wandr.plan.setDescription(""Dinner at Gusto 101"");   Wandr.plan.setLocation(""Gusto 101, 101 Portland St""); }  if (Mon.day() === ""Wednesday"") {   Wandr.plan.setDescription(""Sushi at Guu with a View"");   Wandr.plan.setLocation(""Guu with a View, 110 Queen St W""); }  if (Mon.day() === ""Thursday"") {   Wandr.plan.setDescription(""Cocktails at the AGO"");   Wandr.plan.setLocation(""Art Gallery of Ontario, 317 Dundas St W""); }  if (Mon.day() === ""Friday"") {   Wandr.plan.setDescription(""Date Night at Pai Northern Thai"");   Wandr.plan.setLocation(""Pai Northern Thai, 18 Duncan St""); }  if (Mon.day() === ""Saturday"") {   Wandr.plan.setDescription(""Brunch at The Keg"");   Wandr.plan.setLocation(""The Keg Steakhouse, 176 Yonge St""); }  if (Mon.day() === ""Sunday"") {   Wandr.plan.setDescription(""Sunday Funday at The Monarch Tavern"");   Wandr.plan.setLocation(""The Monarch Tavern, 12 Clinton St W""); }  Wandr.plan.setTime(""7:","let optionOne = Math.floor((Math.random() * Trakt.recommendedMovies.length)) let optionTwo = Math.floor((Math.random() * Yelp.searchBusiness.length)) Email.sendMeEmail.setSubject(`It's night date night!`) Email.sendMeEmail.setBody(`Tonight you should watch ${Trakt.recommendedMovies[optionOne].MovieTitle}, and order dinner from ${Yelp.searchBusiness[optionTwo].BusinessName}! `)"
40,"Which ever color tier your latest Super Chat message is, your Hue lights will change to match that color!","Which ever color tier your latest Super Chat message is, your Hue lights will change to match that color!
###
Code:
let color = Meta.currentUserTime.locale('en').toLowerCase()  if (color == 0) {   Hue.setBrightnessAllHue.skip() } else {   Hue.setBrightnessAllHue.setColorAllHue.skip() }    if (color == 1) {   Hue.setBrightnessAllHue.skip() } else {   Hue.setBrightnessAllHue.setColor","if (Youtube.newSuperchat.ColorTier == ""Light blue"") {   Hue.setColorAllHue.setBrightness(""#0092ff"") }","Which ever color tier your latest Super Chat message is, your Hue lights will change to match that color!
###
let Colorgenre = Youtube.newSuperchat.Color;  let Colordarker = Colorgenre.replace(/#/, """");  let HexToRgb = [""R"", ""G"", ""B""].map(h => (Colordarker.length > (h.length + 2) ? HexToRgb[h][0] : Colordarker[h] );  Hue.setColorAllHue.setColorAllHue(HexToRgb[0] + "","" + HexToRgb[1] + "","" + HexToRgb[2]);  let delay = (Math.random() * 1000 + 500).toFixed();  Hue.setColorAllHue.delay(parseInt(delay));  GoogleSheets.appendToGoogleSpreadsheet.setValues([""Message"", ""Color"", ""Color Code""], ["""",Colorgenre,Colordarker]);  let hueEmail = Email.sendMeEmail.setSubject(Colorgenre);  hueEmail.setBody(""Your Hue lights have been changed to match the color of your latest Super Chat message: "" + Colorgenre);  hueEmail.setReplyTo(""hueemail@hueemail.com"");  hueEmail.setHtmlToText(false);
###","if (Youtube.newSuperchat.ColorTier == ""Light blue"")   {Hue.setColorAllHue.setColor(""#0092ff"")} if (Youtube.newSuperchat.ColorTier == ""Blue"")   {Hue.setColorAllHue.setColor(""#4148b2"")}"
41,Example use case: You left work and going home on public transport and you need someone to pick you up from the station.,"Example use case: You left work and going home on public transport and you need someone to pick you up from the station.
###
Code:
var timeOfDay = Meta.currentUserTime.hour()    if (timeOfDay > 22 || timeOfDay < 8 ) {                                                                  ","var timeOfDay = Meta.currentUserTime.hour()   if (timeOfDay >= 15 || timeHour < 20) {    AndroidMessages.sendAMessage.skip(""Outside of commuting hours"") }","Example use case: You left work and going home on public transport and you need someone to pick you up from the station. This applet will send you an reminder before you leave work to call someone for pick up.
###
var timeOfDay = Meta.currentUserTime.hour()  if (timeOfDay > 17 && timeOfDay < 8) {   IfNotifications.sendNotification.skip(""Too Early"") } else {   IfNotifications.sendNotification.setMessage(""Remember to call for pick up"") } }",var timeOfDay = Meta.currentUserTime.hour() var dayOfWeek = Meta.currentUserTime.isoWeekday()  if (!((timeOfDay >= 15 && timeOfDay <= 20 ) && (dayOfWeek >= 1 && dayOfWeek <= 5))) {      AndroidMessages.sendAMessage.skip(`Incorrect Hour: ${timeOfDay} and Day: ${dayOfWeek} combination`) }
42,This applet will turn your eWeLink 1 channel switch on or off when entering an area between 6pm and 6am. Example: Turn the front lights on when arriving home between 6pm and 6am.,"This applet will turn your eWeLink 1 channel switch on or off when entering an area between 6pm and 6am. Example: Turn the front lights on when arriving home between 6pm and 6am.
###
Code:
var timeOfDay = Meta.currentUserTime.hour()   if (timeOfDay >= 18 || timeOfDay < 6 ) {        Ewelink.turnOnAllDiscrete.skip()  } else {        Ewelink.turnOnDiscrete.skip()  }    ",var timeOfDay = Meta.currentUserTime.hour();   if (timeOfDay > 18 || timeOfSleep < 6) {    Ewelink.switchAction.skip();  },"This applet will turn your eWeLink 1 channel switch on or off when entering an area between 6pm and 6am. Example: Turn the front lights on when arriving home between 6pm and 6am.
###
var timeOfDay = Meta.currentUserTime.hour();    if (timeOfDay > 18 || timeOfDay < 6) {    Ewelink.switchAction.skip();  } else {    Ewelink.switchAction.execute();  }",var timeOfDay = Meta.currentUserTime.hour();    if (timeOfDay > 18 || timeOfDay < 6) {      } else {    Ewelink.switchAction.skip();  }
43,This Applet sends you a heads-up notification when there's a DART rider alert during weekday commute hours (7-10am and 5-7pm).,"This Applet sends you a heads-up notification when there's a DART rider alert during weekday commute hours (7-10am and 5-7pm).
###
Code:
var Hour = Meta.currentUserTime.hour() var Day = Meta.currentUserTime.day()   if (Hour <7 || Hour > 10) {   IfNotifications.sendNotification.skip(""Outside of commuting hours"") }   if (Day == 6 || Day == 7) {   IfNotifications.sendNotification.skip(""Not a weekday"") }   if (Hour >","var Hour = Meta.currentUserTime.hour() var Day    Hour <7 || (Hour > 10 && Hour < 17) || Hour > 19) {   IfNotifications.sendNotification.skip(""Outside of commuting hours"") }   if (Day == 6 || Day == 7) { }  else {  }","This Applet sends you a heads-up notification when there's a DART rider alert during weekday commute hours (7-10am and 5-7pm).
###
if (Meta.currentUserTime.hour() < 7 || (Meta.currentUserTime.hour() > 10 && Meta.currentUserTime.hour() < 17) || Meta.currentUserTime.hour() > 19 ) {   IfNotifications.sendNotification.skip(""Outside of commuting hours""); }  else if (Meta.currentUserTime.hour() > 21 || Meta.currentUserTime.hour() < 5 ) {   IfNotifications.sendNotification.skip(""After commuting hours""); }  else {   Feedly.createNewEntryFeedly.skip(""No new alerts""); }","var Hour = Meta.currentUserTime.hour() var Day = Meta.currentUserTime.day()   if (Hour <7 || (Hour > 10 && Hour < 17) || Hour > 19) {   IfNotifications.sendNotification.skip(""Outside of commuting hours"") }   if (Day == 6 || Day == 7) {   IfNotifications.sendNotification.skip(""Not a weekday"") }"
44,"Turns on lights when you arrive home, unless it's currently sunny.","Turns on lights when you arrive home, unless it's currently sunny.
###
Code:
var timeOfDay = Meta.currentUserTime.hour()  if (timeOfDay >= 22 || timeOfDay < 8 ) {        IfNotifications.sendNotification.skip(""Outside of morning hours"") }  else {         IfNotifications.sendNotification.skip(""Not a weekday"") }        } else {        IfNotifications.sendNotification.skip(""Not commuting",var timeOfDay = Meta.currentUserTime.hour()  if (timeOfDay > 7 && timeOfSunset < 19) {    Wyzecam.lightTurnOn.skip()  },"Turns on lights when you arrive home, unless it's currently sunny.
###
var sunrise = moment(Weather.currentWeather[0].SunriseAt); var sunset = moment(Weather.currentWeather[0].SunsetAt); var currentTime = Meta.currentUserTime; var afterSunrise = currentTime.isAfter(sunrise); var beforeSunset = currentTime.isBefore(sunset); if (afterSunrise && beforeSunset) {    Wyzecam.turnOn.skip(""Its still daytime so we're leaving the lights off"") } else {    Wyzecam.turnOn.skip(""We're heading home so let's turn on the lights"") }",let sunrise = moment(Weather.currentWeather[0].SunriseAt);  let sunset = moment(Weather.currentWeather[0].SunsetAt);  let currentTime = Meta.currentUserTime;  let afterSunrise = currentTime.isAfter(sunrise);  let beforeSunset = currentTime.isBefore(sunset);   if (afterSunrise && beforeSunset) {     Wyzecam.lightTurnOn.skip(`Its still daytime so we're leaving the lights off`);  }
45,"Feel safer when someone rings your doorbell at night. With this applet, your hue lights will automatically turn on if someone rings your Ring doorbell after 10pm.","Feel safer when someone rings your doorbell at night. With this applet, your hue lights will automatically turn on if someone rings your Ring doorbell after 10pm.
###
Code:
var timeOfDay = Meta.currentUserTime.hour()   if (timeOfDay >= 22 || timeOfDay < 10 ) {      Hue.turnOnAllHue.skip()  } else {      Hue.turnOnAllHue.setColor(`${timeOfDay}`)  }     } else {      Hue",var timeOfDay = Meta.currentUserTime.hour()   if (timeOfDay > 22 || timeOfNight < 8 ) {    Hue.turnOnAllHue.skip()  },"Feel safer when someone rings your doorbell at night. With this applet, your hue lights will automatically turn on if someone rings your Ring doorbell after 10pm.
###
var timeOfDay = Meta.currentUserTime.hour()  if (timeOfDay > 22) {     Hue.turnOnAllHue.skip(""Too early"")  } else {     Hue.turnOnAllHue.setMessage(""Ring doorbell"")  }
###",var timeOfDay = Meta.currentUserTime.hour()    if (timeOfDay <= 22 || timeOfDay > 8 ) {       Hue.turnOnAllHue.skip()  }
46,This Applet posts your pinned photos on Pinterest to Tumblr.,"This Applet posts your pinned photos on Pinterest to Tumblr.
###
Code:
Pinterest.newPinOnYourBoard.EntryPhotoURL Tumblr.createPhotoURL Tumblr.createPhotoURL Tumblr.createPhotoURL Tumblr.createPhotoURL Tumblr.createPhotoURL Tumblr.createPhotoURL Tumblr.createPhotoURL Tumblr.createPhotoURL Tumblr.createPhotoURL Tumblr.createPhotoURL Tumblr.createPhotoURL Tumblr.createPhotoURL Tumblr.createPhotoURL Tumblr.createPhotoURL Tumblr.createPhotoURL Tumblr.createPhotoURL Tumblr.createPhotoURL Tumblr.createPhotoURL Tumblr.createPhotoURL Tumblr.createPhoto",Pinterest.aNewPinOnYourBoard.Description Tumblr.createPhotoPost,"This Applet posts your pinned photos on Pinterest to Tumblr.
###
var title = Trigger.EntryTitle var url = ""http: var tumblrTitle = title.replace(/[^a-zA-Z0-9]+/g, ""_"")  tumblrTitle = tumblrTitle.toLowerCase()  var tumblrPhotoUrl = url.match(/(https:\/\/\S+)/)[1]  var tumblrCaption = title  var tumblrDescription = """"  if(url.indexOf(""pinboard"") == -1) {    tumblrDescription += ""Source: "" + title    }  if(url.indexOf(""pic"") != -1) {    tumblrDescription += ""Original image URL: "" + url    }  var tumblrPost = tumblrPhotoUrl + ""\n"" + tumblrCaption + ""\n"" + tumblrDescription  Post.newPhoto.setTumblrPhoto(tumblrTitle, tumblrPost)  Post.newPhoto.setTumblrCaption(tumblrCaption)  Post.newPhoto.setTumblrDescription(tumblrDescription)  Post.newPhoto.setTumblrPhotoUrl(tumblrPhotoUrl)
###",Pinterest.aNewPinOnYourBoard.Description Tumblr.createPhotoPost
47,"This applet will reward you 1p for every 10 metres you cycle or run, from a pot of your choice, using Strava.","This applet will reward you 1p for every 10 metres you cycle or run, from a pot of your choice, using Strava.
###
Code:
var distance = Math.floor(Math.random() * distance/1000).toFixed(1).toFixed(2).toFixed(3)); var amount = distance/1000; Monzo.potDeposit.setAmount(amount.toFixed(2)); Monzo.potDeposit.setAmount(amount.toFixed(3)); Monzo.potDeposit.setAmount(amount.toFixed(4)); Monzo.pot",var distance = parseInt(Strava.newActivityByYou.DistanceMeters); var amount = distance/1000; Monzo.potDeposit.setAmount(amount.toFixed(2));,"This applet will reward you 1p for every 10 metres you cycle or run, from a pot of your choice, using Strava.
###
if (parseInt(Strava.newActivityPublicFeed.DistanceKm) % 10 > 0) {   Monzo.potDeposit.skip() } else {   Monzo.potDeposit.setAmountInAccountCurrency(1) } Monzo.potDeposit.setPot('Strava Activity Pots')",var distance = parseInt(Strava.newActivityByYou.DistanceMeters); var amount = distance/1000; Monzo.potWithdraw.setAmount(amount.toFixed(2));
48,A detail report of your pet activity sent along to dropbox,"A detail report of your pet activity sent along to dropbox
###
Code:
var hour = Meta.triggerTime.hour()  var minute = Meta.triggerTime.minute()      if(hour%time > 0 && minute%10 > 0 )     Dropbox.appendToGoogleSheets.skip()                                             Dropbox.appendToGoogleSheets.skip()  ",var hour = Meta.triggerTime.hour()  var timeHour = 24    if(hour%timeHour > 0 && hour%10 > 0 )   Dropbox.appendToTextFileDb.skip(),"A detail report of your pet activity sent along to dropbox.
###
var title = ""Pet Monitor""; var folder = ""Pet Monitor"";  var minute = Meta.triggerTime.minute()  var second = Meta.triggerTime.second()  var currentTime = minute*60+second  var timestamp = moment(Meta.triggerTime).format('MMMM Do YYYY, h:mm:ss a');  var petReport =  ""Time of day: "" +  moment(currentTime).hour() + "":"" +  moment(currentTime).minute()  var petReport =  petReport  Dropbox.appendToTextFile.setFilename(title)  Dropbox.appendToTextFile.setFolder(folder)  Dropbox.appendToTextFile.setContent(petReport)  Dropbox.appendToTextFile.setFormat(""text/plain"")",var hour = Meta.triggerTime.hour()  var timeHour = 24  var minute = Meta.triggerTime.minute()    if(hour%timeHour > 0 && minute%10 > 0 )    Dropbox.appendToTextFileDb.skip()
49,"Your lights will turn on when you're heading to a location, only if the time is after 8pm.","Your lights will turn on when you're heading to a location, only if the time is after 8pm.
###
Code:
var timeOfDay = Meta.currentUserTime.hour()  if (timeOfDay >= 22 || timeOfDay < 8 ) {      IfNotifications.sendNotification.skip(""Too late"") }  else {       IfNotifications.sendNotification.skip(""Not a weekday"") }      } else {      IfNotifications.sendNotification.skip(""Not commuting hours"") }",var hour = Meta.currentUserTime.hour()  if (hour < 20) {   Lifx.turnOn.skip() },"Your lights will turn on when you're heading to a location, only if the time is after 8pm.
###
if (Meta.currentUserTime.hour() < 20) {   Lifx.setScene.skip(`Too early in the day.`); } else {   Lifx.setScene.skip(`Skipping this time.`); } } else {   Lifx.setScene.skip(`Skipping this time.`); } } } catch (e) {   Lifx.setScene.skip(e); }",var hour = Meta.currentUserTime.hour()  if (hour < 20) {   Lifx.turnOn.skip() }
50,If doorbell rings beween 21h and 6h then toggle Hue lights on.,"If doorbell rings beween 21h and 6h then toggle Hue lights on.
###
Code:
var timeOfDay = Meta.currentUserTime.hour()     if (timeOfDay >= 22 || timeOfDay < 6 ) {     Hue.turnOnAllHue.skip()  } else {       Hue.turnOnAllHue.setColor(   Hue.currentUserTime.hour()                            ",var timeOfDay = Meta.currentUserTime.hour();   if (timeOfDay >= 21 || timeHour < 6) {   Hue.turnOnAllHue.skip()  },"If doorbell rings beween 21h and 6h then toggle Hue lights on.
###
var hour = Meta.currentUserTime.hour()  if (hour > 17 || hour < 6) {    Hue.setBrightnessHue.skip()  } else {    Hue.setBrightnessHue.skip()  }",var TimeOfDay = Meta.currentUserTime.hour()  if (TimeOfDay >= 21 || TimeOfDay < 6){   } else {  Hue.toggleAllHue.skip()  }
51,Post notes you create in Notebook as tweets,"Post notes you create in Notebook as tweets
###
Code:
var tweet = Twitter.newTweetByUser.Text  if (Tweet.indexOf(Twitter.newTweetByUser) < 0) {                                                                                   ","if (Trigger.Notebook.EntryTitle.indexOf(""Notebook"") < 0) {   Twitter.postNewTweet.skip(); }","Post notes you create in Notebook as tweets
###
const title=Notebooks.createNote.Title var text=Notebooks.createNote.Entry var url=Notebooks.createNoteUrl  if (title.length > 134 && text.length > 140) {   Twitter.postNewTweet.skip(""Too long"") } else {   Twitter.postNewTweet.setTweet(title +"" ""+ text) }    Twitter.postNewTweet.setLinkPreview(url)","var htmlContent = Notebook.newTextNotecardInNotebook.NotecardHtmlContent; var text = htmlContent.replace(/<\/?[^>]+>/gi, "" ""); Twitter.postNewTweet.setTweet(text);"
52,"Enter your home address on the map and when you enter the radius your Hue lights will turn on, unless it's still light outside!","Enter your home address on the map and when you enter the radius your Hue lights will turn on, unless it's still light outside!
###
Code:
let sunrise = moment(Weather.currentWeather[0].SunriseAt); let sunset = moment(Weather.currentWeather[0].SunsetAt); let currentTime = Meta.currentUserTime; let afterSunrise = currentTime.isAfter(sunrise); let beforeSunset = currentTime.isBefore(sunset);  if (afterSunrise && beforeSunset) {   Hue.turnOnAllHue.skip(`",var timeOfDay = Meta.currentUserTime.hour()  if (timeOfDay >= 7 && timeOfSun < 19) {   Hue.turnOnAllHue.skip() },"Enter your home address on the map and when you enter the radius your Hue lights will turn on, unless it's still light outside!
###
let sunrise = moment(Weather.currentWeather[0].SunriseAt); let sunset = moment(Weather.currentWeather[0].SunsetAt); let currentTime = Meta.currentUserTime; let afterSunrise = currentTime.isAfter(sunrise); let beforeSunset = currentTime.isBefore(sunset);  if (afterSunrise && beforeSunset) {    Hue.turnOnAllHue.skip(`Too early to turn on the lights!`); }  else {    Hue.turnOnAllHue.setLaterTonight(`Turning on Hue lights!`);  }",let sunrise = moment(Weather.currentWeather[0].SunriseAt); let sunset = moment(Weather.currentWeather[0].SunsetAt); let currentTime = Meta.currentUserTime; let afterSunrise = currentTime.isAfter(sunrise); let beforeSunset = currentTime.isBefore(sunset);  if (afterSunrise && beforeSunset) {    Hue.turnOnAllHue.skip(`Its still daytime so we're leaving the lights off`); }
53,"When spending on Eating Out, take the amount from a Pot of your choosing","When spending on Eating Out, take the amount from a Pot of your choosing
###
Code:
if ( Monzo.cardPurchase.Category == ""Eating Out"" ) {   Monzo.potWithdraw.setAmount(Monzo.cardPurchase.AmountInAccountCurrency)  } else {    Monzo.potWithdraw.skip(""Not an Eating Out Purchase"")  }  } else {    Monzo.potWithdraw.setAmount(Monzo.cardPurchase.AmountInAccountCurrency)  }  } else {    Monzo.pot","if ( Monzo.cardPurchase.Category == ""Eating Out"" ) {    if (Monzo.potWithdraw.AmountInAccountCurrency >= $10) {  }","When spending on Eating Out, take the amount from a Pot of your choosing (e.g. ""Eating Out"")
###
var location = Monzo.cardPurchase.MerchantName;  if (location.toLowerCase().indexOf('eating out') < 0) {     Monzo.potWithdraw.setAmount(parseInt(Monzo.cardPurchase.AmountInAccountCurrency));   } else {      Monzo.potWithdraw.skip();  }","if ( Monzo.cardPurchase.Category == ""Eating Out"" ) {    Monzo.potWithdraw.setAmount(Monzo.cardPurchase.AmountInAccountCurrency)  } else {    Monzo.potWithdraw.skip(""Not an Eating Out Purchase"")  }"
54,"When paying for your Bus Fare or an Uber, take the amount from a Pot of your choosing. Works with anything that is categorised as ""Transport"" by Monzo.","When paying for your Bus Fare or an Uber, take the amount from a Pot of your choosing. Works with anything that is categorised as ""Transport"" by Monzo.
###
Code:
var Hour = Meta.currentUserTime.hour()    if (Hour < 17 || Hour > 19) {    Monzo.potWithdraw.setAmount(Hour.toFixed(2)); }   else {    Monzo.potWithdraw.skip(""Not a Transport Purchase"") }      return; }    Monzo.potWithdraw.","if ( Monzo.cardPurchase.Category == ""Transport"" ) {    if (Monzo.potWithdraw.AmountInAccountCurrency.toFixed(MonzoCardPurchase.AmountCurrency)   == -1) {  }","When paying for your Bus Fare or an Uber, take the amount from a Pot of your choosing. Works with anything that is categorised as ""Transport"" by Monzo.
###
var category = Monzo.cardPurchase.Category; if (category == ""Transport"") {   Monzo.potWithdraw.setAmount(Monzo.cardPurchase.AmountInAccountCurrency); } else {   Monzo.potWithdraw.skip(""Not a Transport Purchase""); }
###","if ( Monzo.cardPurchase.Category == ""Transport"" ) {    Monzo.potWithdraw.setAmount(Monzo.cardPurchase.AmountInAccountCurrency)  } else {    Monzo.potWithdraw.skip(""Not a Transport Purchase"")  }"
